TITLE="mean" 
Variables="X","Y","Z","VX","VY","VZ"
ZONE T="0", I=289, J=214, SOLUTIONTIME=0
-33.8566 -80.5339 35.0 4330.76105105 -8331.75554555 1200.05468869
-33.5232 -80.5339 35.0 4334.72637638 -8340.50924925 1197.68998999
-33.1898 -80.5339 35.0 4331.48402402 -8331.42884885 1207.54419019
-32.8564 -80.5339 35.0 4330.44024024 -8325.29228228 1207.77564464
-32.523 -80.5339 35.0 4323.89399399 -8306.93640641 1214.49223123
-32.1896 -80.5339 35.0 4330.34074074 -8325.27896897 1187.70374875
-31.8561 -80.5339 35.0 4332.42637638 -8332.20269269 1177.35715716
-31.5227 -80.5339 35.0 4329.28746747 -8324.62204204 1180.37955255
-31.1893 -80.5339 35.0 4321.71703704 -8306.9026026 1200.33642442
-30.8559 -80.5339 35.0 4323.98695696 -8314.73194194 1196.73333734
-30.5225 -80.5339 35.0 4326.67198198 -8323.09463463 1197.19621221
-30.1891 -80.5339 35.0 4333.60323323 -8339.46635636 1184.93954955
-29.8557 -80.5339 35.0 4337.90095095 -8347.05820821 1183.54106707
-29.5222 -80.5339 35.0 4347.98678679 -8370.3581982 1171.8138038
-29.1888 -80.5339 35.0 4352.58805806 -8383.48525526 1170.6077027
-28.8554 -80.5339 35.0 4351.57705706 -8381.16255255 1169.54794394
-28.522 -80.5339 35.0 4344.75588589 -8366.19184184 1174.0323994
-28.1886 -80.5339 35.0 4339.73731732 -8358.14368368 1161.51232933
-27.8552 -80.5339 35.0 4330.32269269 -8342.25447447 1166.02245946
-27.5218 -80.5339 35.0 4333.47654655 -8351.63733734 1163.67707207
-27.1883 -80.5339 35.0 4332.73903904 -8349.65524525 1173.12633734
-26.8549 -80.5339 35.0 4335.38663664 -8352.54424424 1163.95698699
-26.5215 -80.5339 35.0 4329.73195195 -8336.05768769 1168.59101001
-26.1881 -80.5339 35.0 4333.00936937 -8342.97474474 1158.07714815
-25.8547 -80.5339 35.0 4327.75706707 -8331.34520521 1167.76065816
-25.5213 -80.5339 35.0 4330.71297297 -8339.95495495 1163.59390791
-25.1879 -80.5339 35.0 4330.61798799 -8342.94863864 1165.86413103
-24.8544 -80.5339 35.0 4331.87255255 -8350.43081081 1157.60138649
-24.521 -80.5339 35.0 4324.52705706 -8337.81552553 1163.52047918
-24.1876 -80.5339 35.0 4319.52186186 -8329.11788789 1161.17191391
-23.8542 -80.5339 35.0 4314.73857858 -8317.75692693 1168.77177397
-23.5208 -80.5339 35.0 4320.6417017 -8328.76818819 1160.58650821
-23.1874 -80.5339 35.0 4319.80129129 -8326.74592593 1147.71446226
-22.854 -80.5339 35.0 4303.30556557 -8295.27918919 1125.1526964
-22.5206 -80.5339 35.0 4278.62581582 -8246.1028028 1117.16123407
-22.1871 -80.5339 35.0 4270.67273273 -8232.73926927 1110.76713724
-21.8537 -80.5339 35.0 4271.82718719 -8234.09847848 1117.35005875
-21.5203 -80.5339 35.0 4290.47578579 -8271.05632633 1104.95652776
-21.1869 -80.5339 35.0 4311.12902903 -8312.11467467 1120.87776025
-20.8535 -80.5339 35.0 4325.18247247 -8343.41264264 1155.11709693
-20.5201 -80.5339 35.0 4352.44129129 -8397.12167167 1221.67832467
-20.1867 -80.5339 35.0 4379.22708709 -8444.98617618 1266.61658382
-19.8532 -80.5339 35.0 4398.55918919 -8477.98288288 1306.01740961
